OBJECTID,District,Route,Direction,Begin_County,Begin_Post_Mile,End_County,End_Post_Mile,Begin_Abs_Post_Mile,End_Abs_Post_Mile,Description,Length__Lane_Miles_,Occupancy_Requirement,Hours_of_Operation,Segment_Opening_Date,Comments,Shape_Length
16,4,80,EB,SOL,0.504,SOL,0.673,27.995,28.164,Carquinez Bridge Toll Plaza,0.255,3+,M-F05:00-10:0015:00-19:00,"Opened; W/O Toll Plaza to E/O Toll Plaza, 07/30/97HOV lane moved from Toll Booth 5 to 10. HOV lanes now through Toll Booths 1 and 10. 10/28/2021All Electronic Tolling began (AET) across all lanes; Customer Service Center were only able to send invoices t","2-Seat Vehicles with 2 Persons PermittedToll Booths #1 & 5.  Lane 1 = 0.17 mi, lane 10 = 0.085 mi ",348.131415287696
17,4,80,EB,SOL,R11.481,SOL,19.594,38.976,47.096,Red Top Road to Air Base Pkwy,8.12,2+,M-F05:00-10:0015:00-19:00,"Opened; Red Top Road to E/O Air Base Pkwy., 11/04/09",,16669.247532172
18,4,80,WB,SOL,20.051,SOL,12.456,47.553,39.958,E/O Air Base Pkwy. to WB Route 12,7.595,2+,M-F05:00-10:0015:00-19:00,"Opened; E/O Air Base Pkwy. to I-680, 10/01/09Shortened; section between Route 12 and I-680 removed, 2014Shortended; 0.5 miles of HOV lane on WB end removed, 09/2018",Portion between I-680 and Route 12 eliminated in 2014,15582.0117203136
19,4,80,WB,SOL,0.838,ALA,4.003,28.329,9.332,SR-29 to Powell Street,18.997,3+,M-F05:00-10:0015:00-19:00,"Extended; Route 29 to Contra Costa Co. line, 11/17/07 Opened; Pinole Valley Road to Cutting Blvd, 03/05/97Extended; Cutting Blvd. to Central Ave.,05/03/97Extended; Route 4 to Pinole Valley Road, 09/20/97Extended; Central Ave. to Alameda Co. line, 02/02/9",2-Seat Vehicles with 2 Persons Permitted,38777.3313017988
20,4,80,WB,ALA,4.117,ALA,2.614,9.446,7.943,Powell St. to end of HOV lane beyond Slip Ramp to toll lane 20.,1.503,3+  ,M-F05:00-10:0015:00-19:00,"Opened; Powell St. to HOV slip-ramp (HOV flyover), 02/02/98",2-Seat Vehicles with 2 Persons Permitted,2996.30976395879
21,4,80,WB,ALA,2.998,ALA,1.784,8.327,7.113,San Francisco-Oakland Bay Bridge Toll Plaza,3.103,3+  ,M-F05:00-10:0015:00-19:00,"Opened, 04/17/70","2-Seat Vehicles with 2 Persons Permitted4 LANES TOTAL (1, 2, 19, 20)Lane 1 (PM 2.267 to PM 1.784),  length = 0.483 ln-mi,  connects from NB 880S LEFT laneLane 2 (PM 2.998 to PM 1.784),  length = 1.214 ln-miLane 19 (PM 2.29 to PM 1.784),  length = 0.506 l",2416.91994156127
22,4,84,WB,ALA,R5.926,ALA,R3.012,35.986,33.072,I-880 to Dumbarton Bridge Toll Plaza,2.914,2+,M-F05:00-10:0015:00-18:00,"Opened; Newark Blvd to Dumbarton Bridge Toll Plaza, 10/06/82Extended; Newark Blvd. to University Ave., 11/22/89Shortened; Neward Blvd. to W/O Toll Plaza, 11/17/90Extended; I-880/84 Junction to Newark Blvd, 07/31/08",,5923.4098459819
23,4,85,NB,SCL,0.215,SCL,R23.3,0.215,23.476,US-101 (South San Jose) to S/O Moffett Blvd. ,24.561,2+,M-F05:00-09:0015:00-19:00,"Opened; Route 280 to Route 237, 02/22/90Opened; new section from Route 101 (San Jose) to Almaden Expwy., 08/12/94Extended; Almaden Expwy. to Route 280, 10/19/94Extended; Route 237 to US-101 (Mountain View), 11/06/98Opened; direct HOV connector from Route",Includes flyover from NB 101 to NB 85 (1.3 mi) ,47071.2989597661
24,4,85,SB,SCL,R22.7,SCL,0.236,22.876,0.236,Central Expwy. to US-101 (South San Jose),23.92,2+,M-F05:00-09:0015:00-19:00,"Opened; Route 237 to Route 280, 04/25/90Opened; new section from Almaden Expwy. To Bernal Road, 08/12/94Extended; Route 280 to Almaden Expwy., 10/19/94Extended; Route 101 (Mountain View) to Route 237, 11/13/98Opened; direct HOV Connector from Route 85 to",Includes flyovers  to SB 101 (1.28 mi),45876.8622857006
25,4,87,NB,SCL,0.453,SCL,9.154,0.453,9.154,SR-85 to US-101,9.701,2+,M-F05:00-09:0015:00-19:00,"Opened; Taylor Ave. to Route 101, 04/18/05Opened; New section from Route 85 to Route 280, 02/04/07Extended; Route 280 to Taylor Ave., 05/24/07",includes mileage 0.74 mi upstream & 0.26 mi downstream of beginning/ending postmiles,17609.0907414648
26,4,87,SB,SCL,T8.827,SCL,0.423,8.827,0.423,US-101 to SR-85,9.124,2+,M-F05:00-09:0015:00-19:00,"Opened; Route 101 to Taylor Ave., 12/23/04Opened; new section from Route 280 to Route 85, 03/16/07Extended; Taylor Ave. to Route 280, 07/26/07",includes mileage 0.72 mi downstream of ending postmile,17035.0091542204
27,4,92,WB,ALA,R5.655,ALA,R2.528,25.182,22.055,Hesperian Blvd to San Mateo Bridge Toll Plaza,3.282,2+,M-F05:00-10:0015:00-18:00,"Opened; Clawiter Rd. On-ramp to E/O Toll Plaza, 10/23/89Extended; Clawiter Road On-ramp to W/O Toll Plaza, 01/15/92Extended; Hesperian Blvd. to W/O Toll Plaza, 07/02/01","Lane 1 (PM R5.66 to PM R2.528),  length = 3.132 ln-miIncludes second lane through the toll plaza (PM R2.678 to PM R2.528),  length = 0.15 ln-mi",6337.89160697409
28,4,101,NB,SCL,R17.889,SCL,46.95,367.16,396.552,Cochrane Rd to S/O Ellis St.,29.392,2+,M-F05:00-09:0015:00-19:00,"Opened; Guadalupe Pkwy. to Great America Pkwy., 11/07/86Extended; Great America Pkwy. to N. Rengstorff Ave., 10/10/88Extended; N. Rengstorff Ave. to San Mateo Co. Line, 12/12/88Opened; new section from Bernal Road to Rte 280/680 I/C, 06/07/90Extended; Ro",,59556.2694663104
29,4,101,NB,SF,T4.724,SF,6.673,433.923,435.742,Mission St. to Fibert St.,1.819,Bus Lane,24/7,4/1/2022,Dedicated Bus lane (lane 1).,3939.52564222386
30,4,101,NB,SF,6.811,SF,8.067,435.98,437.235,Franklin St. to Lyon St.,1.255,2+,M-F5:00-20:00,GP lane conversion to HOV 2+ pilot project (2-3 years) 9/24/2021,,2573.67948769408
31,4,101,NB,MRN,3.902,MRN,R22.573,444.929,463.6,Richardson Bay Bridge to North of Atherton Ave,18.671,2+,M-F16:30-19:00,"Opened; Buses only, 12/20/74 Carpools permitted, 06/15/76Opened; N. San Pedro Road to Miller Creek Rd./Marinwood Ave., 08/12/86Extended; N/O Corte Madera to Nellen Ave. UC, 07/20/06Opened (gap closure); Lucky Drive to N. San Pedro Road, 04/24/09New conti",NB Only - PM Buses only,38262.1685679355
32,4,101,NB,MRN,R27.125,SON,28.579,465.904,497.028,0.4 miles south of the Marin/Sonoma County line to Windsor River Road,31.124,2+,M-F07:00-09:0015:00-18:30,"Opened; Wilfred Ave. to Route 12, 11/04/02Extened; Route 12 to Steele Lane, 11/10/08Extended; Steele Lane to Windsor River Road, 12/06/09Opened; S/O Old Redwood Hwy. to Copeland Creek, 12/05/11Opened (gap closure); Copeland Creek to Wilfred Ave., 08/29/1",,59758.0814885469
33,4,101,SB,SON,29.29,SON,R0.305,497.739,466.652,Windsor River Rd. to 0.3 miles N/O Marin County Line,31.087,2+,M-F07:00-09:0015:00-18:30,"Opened; Route 12 to Wifred Ave., 11/04/02 Extended; Steele Lane to Route 12, 11/10/08Extended; Windsor River Road to Steele Lane, 12/07/09Opened; new section from Rohnert Park Expwy. to N/O Old Redwood Hwy., 12/03/11Opened (gap closure); Wilfred Ave. to ",opened on Dec 3 (sat.) SBDec 6 (Tues) NBNB opened 8/29/2012SB opened 8/30/2012,59706.5443342968
34,4,101,SB,MRN,R20.88,MRN,4.704,461.907,445.731,De Long Ave to Richardson Bay Bridge,16.176,2+,M-F06:30-08:30,"Opened Buses only; 12/23/74 Carpools permitted, 06/16/76 Opened; Marinwood Ave. to N. San Pedro Road, 07/24/87 Extended; Marinwood Ave. to Route 37, 02/08/91Extended; Anderson Dr. to N/O Greenbrae pedestrian OC, 07/17/06 Extended; Mission Ave. to Anderso","SB Only - AMOpened Buses onlyMarinwood to North San Pedro Rd.Marinwood to Rte 37Anderson Dr. to N. of Greenbrae ped OC Mission Ave. to Anderson Dr.Gap Closure, Rte 37 to Richardson BridgeRte 37 to Rowland Blvd.Rowland Blvd. to De Long Ave.",33108.5655174646
35,4,101,SB,SF,7.984,SF,6.89,437.153,436.059,Francisco St. to Gough St. ,1.094,2+,M-F5:00-20:00,"Opened; Francisco St. to Gough St., 09/24/21",GP lane conversion to HOV 2+ pilot project (2-3 years),2268.88413668274
36,4,101,SB,SF,6.706,SF,T4.724,435.825,433.923,Lombart St. to Mission St.,1.902,Bus Lane,24/7,4/1/2022,Dedicated Bus lane (lane 1).,3995.47442510618
37,4,101,SB,SCL,45.9,SCL,R18.734,395.502,367.97,S/O Route 237 (Calaveras Blvd.) to Cochrane Road,27.532,2+,M-F05:00-09:0015:00-19:00,"Opened; Lawrence Expwy. to De La Cruz Blvd., 11/10/86Extended; Ellis St. to Lawrence Expwy., 08/08/88Extended; N/O Rengstorff Ave. to Ellis St., 10/10/88Extended; San Mateo Co. Line to N/O Rengstorff Ave., 12/12/88Opened; new section from Route 280/680 I",,55721.9250289352
38,4,160,NB,CC,0.64,CC,0.728,1.979,2.067,Antioch Bridge Toll Plaza,0.088,3+,M-F05:00-10:0015:00-19:00,,"HOV 3+,  2-Seat Vehicles with 2 Persons Permitted",179.100458538189
39,4,280,NB,SCL,L4.716,SCL,14.019,4.716,15.401,S/O Leland Ave. to Magdalena Ave.,10.685,2+,M-F05:00-09:0015:00-19:00,"Opened; S/O Leland Ave. to Magdalena Ave., 11/21/90",SCL-280-L 5.954 = SCL-280-4.572 ,21596.1819258468
40,4,280,SB,SCL,14.4,SCL,L4.75,15.782,4.75,N/O Magdalena Ave. to Leland Ave.,11.032,2+,M-F05:00-09:0015:00-19:00,"Opened; S/O Magdalena Ave. I/C to Leland Ave., 12/01/90Extended; 0.3 miles S/O of Magdalena to 0.3 miles N/O Magdalena I/C (total 0.6 miles extension), 8/13/21 ",SCL-280-L 5.954 = SCL-280-4.572 ,22318.8769183404
41,4,580,WB,CC,6.072,CC,6.147,69.928,70.003,Richmond San Rafael Bridge Toll Plaza,0.075,3+,M-F05:00-10:0015:00-19:00,,"HOV 3+,  2-Seat Vehicles with 2 Persons Permitted",154.51125329671
42,4,680,NB,CC,R18.819,CC,23.144,50.32,54.844,SR-242 to south of Marina Vista,4.524,2+,M-F05:00-09:0015:00-19:00,"Opened; Route 242 to S/O Marina Vista, 04/28/05",,9255.87255407098
43,4,680,NB,CC,24.262,CC,24.788,55.962,56.488,Benicia-Martinez Toll Plaza,0.644,3+,M-F05:00-10:0015:00-19:00,"Opened with new Bridge; N/O Marina Vista to Toll Plaza, 08/26/07","HOV 3+,  2-Seat Vehicles with 2 Persons Permitted2 lanesLane 10 (PM 24.262 to PM 24.788),  length = 0.53 ln-miLane 3 (PM 24.442 to PM 24.560),  length = 0.12 ln-mi",1032.33298819466
44,4,880,NB,SCL,4.664,SCL,10.502,4.664,10.502,Old Bayshore Hwy to Dixon Landing Rd,5.838,2+,M-F05:00-09:0015:00-19:00,"Opened; Route 880/237 Junction to S/O Dixon Landing Road, 04/22/05Extended; S/O Dixon Landing Road to Alameda Co. line, 11/11/08Extended; Old Bayshore Highway to Route 880/237 Junction, 06/22/13",,11806.4773187985
45,4,880,NB,ALA,R34.527R,ALA,R35.797R,44.754,46.024,West Grand Ave to I-80,1.27,3+,M-F5:00-10:0015:00-19:00,"Opened; West Grand Ave. to EB Route 80 HOV lane merge, 11/12/03",2-Seat Vehicles with 2 Persons Permitted,2599.58722912973
46,4,880,NB,ALA,R0,ALA,R0.969,10.502,11.471,Santa Clara Co. Line to S/O Route 262,0.969,2+,M-F05:00-09:0015:00-19:00,"Opened; N/O Tennyson Road to A St., 09/22/91Extended; Industrial Pkwy to Tennyson, 11/08/91Extended; A St. to Route 238, 06/26/92Whipple Rd. to Industrial PkwyShortened; Whipple Rd. to 1 mi. S/O Route 238 removed, 09/23/96Extended; Allvarado Blvd./Fremon",,2105.17150512177
47,4,880,SB,SCL,8.471,SCL,4.17,8.471,4.17,SR 237  (Calaveras Blvd.)to US-101,4.301,2+,M-F05:00-09:0015:00-19:00,"Opened; S/O Dixon Landing Road to Route 880/237 JunctionExtended; Alameda Co. line to S/O Dixon Landing Road, 08/11/07Extended; Route 880/237 Junction to Route 101 I/C Converted; Alameda Co. line to Route 237, 10/02/20Remaining HOV: SR 237 to US 101, 10/",,8694.68804982052
48,4,880S,NB,ALA,0.000R,ALA,1.223R,0,1.223,16th St to SFOBB Toll Plaza,1.607,3+,M-F05:00-10:0015:00-19:00,"05/1998Opened; 16th St. to left HOV ramp at SFOBB Toll PlazaExtended; Slip ramp to SFOBB right-side bypass lanes onto the West Grand on-ramp, 01/03/19","2-Seat Vehicles with 2 Persons Permitted2 HOV approachesLEFT LANE (PM 0R to PM 1.223R) becomes SFOBB Toll Plaza lane #1RIGHT LANE (PM 0.818R to PM 1.202R) becomes SFOBB Toll Plaza lane #19 - HOV peak, BUS ONLY non-peak",2904.26920052894
49,5,101,NB,SB,R0.000,SB,4.28,83.063,87.203,Ventura County Line to 0.51 miles North of Santa Monica  Creek,4.14,2+,M-F06:00-09:0015:00-18:00,"Extended  to the north in June, 2022",Continuation from Ventura CountyNote: PM R0.980=PM 1.120,8073.63534834907
50,5,101,SB,SB,4.33,SB,R0.000,87.253,83.063,Bailard Avenue to to 0.56 miles North of Santa Monica Creek,4.19,2+,M-F06:00-09:0015:00-18:00,"Extended  to the north in June, 2022",Continues into Ventura CountyNote: PM R0.980=PM 1.120,8184.63859461029
51,7,5,NB,LA,0,LA,5.81,116.418,122.228,Orange Co Line to Orr and Day Rd/Railroad Tracks (south of Florence Ave),5.81,2+,24 Hr,Orange Co Line to Coyote Creek - June 2022Coyote Creek to Orr and Day Rd/Railroad Tracks - Feb 2022,,11268.5382290815
52,7,5,NB,LA,26.75,LA,R45.22,143.168,161.415,Rte 134 to Rte 14,20.047,2+,24 Hr,Rte 134 to Magnolia Blvd - Apr 2021Magnolia Blvd to Hollywood Way - Aug 2022Hollywood Way to Rte 118 - June 2015Rte 170 direct connector - June 2015Rte 118 to Rte 14 - Apr 2008Rte 14 to JNO Rte 14 - Dec 2012,Mileage includes direct connector from NB Rte 170 to NB Rte 5 (0.8 ln-mi)Mileage includes direct connector from NB Rte 5 to NB Rte 14 (1.0 ln-mi),35578.7438342878
53,7,5,SB,LA,R45.43,LA,27.51,161.625,143.928,Rte 14 to Rte 134,19.497,2+,24 Hr,JNO Rte 14 to Rte 14 - Dec 2012Rte 14 to Rte 118 - Apr 2008Rte 170 direct connector - June 2015Rte 118 to Hollywood Way - June 2015Hollywood Way to Magnolia Blvd - July 2022Magnolia Blvd to Rte 134 - Apr 2021,Mileage includes direct connector from SB Rte 5 to SB Rte 170 (0.8 ln-mi)Mileage includes direct connector from SB Rte 14 to SB Rte 5 (1.0 ln-mi),34495.4062760256
54,7,5,SB,LA,6.31,LA,0,122.728,116.418,Florence Ave (just south of I-605) to Orange Co Line,6.31,2+,24 Hr,22-Apr,,12271.1301662529
55,7,10,EB,LA,30.995,LA,48.265,29.495,46.765,I-605 to San Bernardino County Line,17.27,2+,24 Hr,Rte 605 to 0.6 mi west of Puente Ave (Francisquito Ave) - Dec 20130.6 mi west of Puente Ave (Francisquito Ave) to Citrus Ave - Aug 2020Citrus Ave to Rte 57 - April 2021Rte 57 to San Bernardino Co Line - Nov 2003,Continues into San Bernardino County,33527.7270266055
56,7,10,WB,LA,48.265,LA,31.293,46.765,29.793,San Bernardino County Line to I-605,16.972,2+,24 Hr,San Bernardino Co Line to Rte 57 - Nov 2003Rte 57 to Citrus Ave - April 2021Citrus Ave to 0.5 mi west of Puente Ave (Francisquito Ave) - Aug 20200.5 mi west of Puente Ave (Francisquito Ave) to Rte 605 - Dec 2013,Continuation of HOV lane from San Bernardino County,32958.8213369618
57,7,14,NB,LA,R24.99,LA,R60.076,0.202,35.239,I-5 to 0.3 miles north of Palmdale Blvd,35.037,2+,3:00-7:00 pm M-F24 Hr s/o Newhall Ave ,Rte 5 direct connector - Dec 2012Rte 5 to San Fernando Rd (Newhall Ave) - Aug 2002(Newhall Ave) San Fernando Rd to Sand Canyon Rd - May 1998Sand Canyon Rd to Escondido Canyon Rd - Sep 1999Escondido Canyon Rd to Pearblossom Hwy - Jul 2002Pearblossom Hwy t,"Demonstration ProjectBuffer Separated / Part-Time Access OperationUpdate: As of year 2019, continuous access striping from 1.2 miles north of Via Princessa to 0.3 miles north of Palmdale Blvd.",68489.802683703
58,7,14,SB,LA,R60.685,LA,R24.99,35.848,0.202,Avenue P-8 to I-5,35.646,2+,5:00-9:00 am M-F24 Hr s/o Newhall Ave ,Ave P-8 to Pearblossom Hwy- Aug 2006Pearblossom Hwy to Escondido Canyon Rd - Jul 2002Escondido Canyon Rd to Sand Canyon Rd- Sep 1999Sand Canyon Rd to San Fernando Rd (Newhall Ave) - May 1998(Newhall Ave) San Fernando Rd to Rte 5 - Aug 2002Rte 5 direct co,"Demonstration ProjectBuffer Separated / Part-Time Access OperationUpdate: As of year 2019, continuous access striping from Avenue P-8 (Technology Dr) to 1.2 miles north of Via Princessa.",69654.0314544666
59,7,57,NB,LA,R0.000,LA,R4.406R,11.817,16.223,Orange County Line to SR-60,5.506,2+,24 Hr,Orange Co Line to Rte 60 direct connector - Aug 1997Rte 60 direct connector - Feb 2007,Continuation of HOV lane from Orange CountyMileage includes direct connector from NB Rte 57 to EB Rte 60 (1.1 ln-mi),8553.91046442126
60,7,57,SB,LA,R4.363L,LA,R0.000,16.265,11.817,SR-60 to Orange County Line,5.548,2+,24 Hr,Rte 60 direct connector - Feb 2007Rte 60 direct connector to Orange Co Line - Aug 1997,Continues into Orange CountyMileage includes direct connector from WB Rte 60 to SB Rte 57 (1.1 ln-mi),8514.31608499345
61,7,60,EB,LA,11.79,LA,R30.456,11.931,30.597,I-605 to San Bernardino County Line,18.666,2+,24 Hr,Rte 605 to Brea Canyon Rd - Sep 2010Brea Canyon Rd to Jct Rte 57 North - Feb 1999Jct Rte 57 North to San Bernardino Co Line - Feb 1999,Continues into San Bernardino County,36273.1908984048
62,7,60,WB,LA,R30.456,LA,13.824,30.597,13.966,San Bernardino County Line to 0.4 miles west of 7th Ave,16.631,2+,24 Hr,San Bernardino Co Line to Jct Rte 57 North - Feb 1999Jct Rte 57 North to Brea Canyon Rd - Feb 1999Brea Canyon Rd to 0.4 mi west of 7th Avenue - Oct 2010,Continuation of HOV lane from San Bernardino County,32283.3120620125
63,7,91,EB,LA,R6.559,LA,R20.741,0.557,14.739,I-110 to Orange County Line,14.182,2+,24 Hr,Rte 110 to Rte 605 - Jun 1985Rte 605 to Orange Co Line - Nov 1994,Continues into Orange County,27463.1990875004
64,7,91,WB,LA,R20.741,LA,R8.532,14.739,2.53,Orange County Line to Central Avenue,12.209,2+,24 Hr,Orange Co Line to Rte 605 - Nov 1994Rte 605 to Central Avenue - Mar 1993,Continuation of HOV lane from Orange County,23635.1570692831
65,7,101,NB,VEN,R39.89,VEN,R43.622,79.438,83.063,0.1 mile north of Mobil Pier Rd to Santa Barbara County Line,3.625,2+,M-F6:00-9:00 am3:00-6:00 pm ,15-Mar,Continues into Santa Barbara County ,7059.45906503861
66,7,101,SB,VEN,R43.622,VEN,R40.197,83.063,79.745,Santa Barbara County Line to 0.4 mile north of Mobil Pier Rd,3.318,2+,M-F6:00-9:00 am3:00-6:00 pm ,15-Mar,Continuation of HOV lane from Santa Barbara County ,6435.43789225045
67,7,105,EB,LA,R1.81,LA,R18.14,1.81,18.14,I-405 to Studebaker Rd,16.33,2+,24 Hr,Oct-93,,31665.7734249595
68,7,105,WB,LA,R18.14,LA,R2.42,18.14,2.42,Studebaker Rd to I-405,15.72,2+,24 Hr,Oct-93,,30479.6779957829
69,7,118,EB,LA,R0.11,LA,R10.51,31.836,42.236,0.1 mile east of Ventura County Line to I-5,10.4,2+,24 Hr,Mar-97,,20221.7636985954
70,7,118,WB,LA,R10.817,VEN,R32.105,42.546,31.231,I-5 to 0.3 miles west of Rocky Peak Road,11.315,2+,24 Hr,Mar-97,,22048.8672138097
71,7,134,EB,LA,0.225,LA,R5.26R,0.225,5.26,US-101/SR-170 to I-5,5.035,2+,24 Hr,Oct-95,,9798.12139093721
72,7,134,EB,LA,R5.70,LA,R13.341,5.7,13.341,I-5 to I-210,7.641,2+,24 Hr,Rte 5 to Rte 2 - Mar 1996Rte 2 to Rte 210 - Aug 1996,Continues onto Route 210,14855.3754802303
73,7,134,WB,LA,R13.341,LA,R6.15,13.341,6.15,I-210 to I-5,7.191,2+,24 Hr,Rte 210 to Rte 2 - Aug 1996Rte 2 to Rte 5 - Mar 1996,Continuation of HOV lane from Route 210,13985.9728994201
74,7,134,WB,LA,4.89,LA,0.72,4.89,0.72,I-5 to 0.1 mile west of Cahuenga Blvd,4.17,2+,24 Hr,Oct-95,,8081.63605570695
75,7,170,NB,LA,R14.500,LA,R20.28,0,5.78,US-101/SR-134 to I-5,5.98,2+,24 Hr,Feb 1996I-5 direct connector - June 2015,Mileage includes 0.2 ln-mi on connector from NB Rte 101 ,11305.0650230916
76,7,170,SB,LA,R20.22,LA,R14.500,5.72,0,I-5 to US-101/SR-134,5.92,2+,24 Hr,Rte 170 direct connector - June 2015Feb 1996,Mileage includes direct connector from I-5 (0.9 mi) ,11182.7704559669
77,7,210,EB,LA,R25.238,LA,R52.150,25.218,52.439,SR-134 to San Bernardino County Line,27.421,2+,24 Hr,HOV drop ramp at Fair Oaks Ave - May 1996Jct Rte 134 to Sunflower Ave - Dec 1993Sunflower Ave to Foothill Blvd - Sep 1997Foothill Blvd to San Bernardino Co Line - Nov 2002,Continues into San Bernardino CountyMileage includes HOV drop ramp at Fair Oaks Ave (0.2 ln-mi),52875.9619232507
78,7,210,WB,LA,R52.150,LA,R25.238,52.439,25.218,San Bernardino County Line to  SR-134,27.221,2+,24 Hr,San Bernardino Co Line to Foothill Blvd- Nov 2002Foothill Blvd to Sunflower Ave- Sep 1997Sunflower Ave to Jct Rte 134 - Dec 1993,Continuation of HOV lane from San Bernardino County,52897.6341430535
